TRANSACTIONID,ACCOUNTID,ACCOUNTTYPEID,CUSTOMERID,CUSTOMERTYPEID,PRODUCTID,PRODUCTCATEGORYID,PROFITCENTERID,VERSION,DATE,VALUE
2271,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180401,64636
2272,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180501,17402
2273,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180601,59353
2274,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180701,42573
2275,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180801,151026
2276,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20180901,72094
2277,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20181001,62772
2278,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20181101,31386
2279,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20181201,26414
2280,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190101,15537
2281,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190201,26414
2282,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190301,25481
2283,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190401,80147
2284,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190501,21578
2285,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190601,73597
2286,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190701,52789
2287,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190801,187268
2288,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20190901,89395
2289,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20191001,77835
2290,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20191101,38917
2291,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20191201,32752
2292,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200101,19266
2293,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200201,32752
2294,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200301,31596
2295,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200401,128820
2296,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200501,147465
2297,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R100,RC,US10_PCR3L,Actual,20200601,110175
2298,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180401,199051
2299,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180501,59059
2300,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180601,207800
2301,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180701,135617
2302,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180801,107181
2303,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20180901,374041
2304,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20181001,304045
2305,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20181101,83120
2306,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20181201,87495
2307,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190101,34998
2308,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190201,433100
2309,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190301,100276
2310,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190401,246817
2311,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190501,73231
2312,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190601,257666
2313,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190701,168161
2314,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190801,132901
2315,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20190901,463800
2316,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20191001,377007
2317,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20191101,103066
2318,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20191201,108491
2319,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200101,43396
2320,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200201,537032
2321,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200301,124339
2322,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200401,506928
2323,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200501,249168
2324,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R200,RC,US10_PCR2L,Actual,20200601,329360
2325,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180401,97924
2326,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180501,59606
2327,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180601,21288
2328,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180701,25545
2329,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180801,80894
2330,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20180901,93667
2331,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20181001,178819
2332,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20181201,68121
2333,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190101,12772
2334,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190201,76636
2335,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190301,70247
2336,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190401,121423
2337,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190501,73910
2338,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190601,26396
2339,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190701,31675
2340,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190801,100306
2341,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20190901,116144
2342,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20191001,221730
2343,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20191201,84468
2344,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20200101,15837
2345,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20200201,95027
2346,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20200301,87105
2347,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20200401,214785
2348,FPA1/022,INC,USCU_L07,Z2,MZ-FG-R300,RC,US10_PCR1L,Actual,20200501,226395
2349,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180401,98522
2350,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180501,62255
2351,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180601,53708
2352,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180701,112960
2353,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180801,194465
2354,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20180901,72149
2355,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20181001,123085
2356,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20181101,10279
2357,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20181201,24678
2358,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190101,40001
2359,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190201,78502
2360,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190301,91554
2361,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190401,122165
2362,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190501,77194
2363,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190601,66596
2364,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190701,140067
2365,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190801,241132
2366,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20190901,89463
2367,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20191001,152623
2368,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20191101,12746
2369,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20191201,30601
2370,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200101,49601
2371,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200201,97340
2372,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200301,113524
2373,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200401,182840
2374,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200501,97860
2375,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y120,YH,US10_PCY1L,Actual,20200601,177030
2376,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180401,145729
2377,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180501,53790
2378,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180601,16170
2379,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180701,31680
2380,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180801,120187
2381,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20180901,38346
2382,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20181001,31086
2383,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20181101,25806
2384,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20181201,18546
2385,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190101,12342
2386,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190201,67122
2387,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190301,39336
2388,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190401,180700
2389,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190501,66698
2390,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190601,20050
2391,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190701,39282
2392,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190801,149028
2393,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20190901,47548
2394,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20191001,38546
2395,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20191101,31999
2396,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20191201,22996
2397,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200101,15303
2398,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200201,83230
2399,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200301,48776
2400,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200401,268320
2401,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200501,98880
2402,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y200,YH,US10_PCY2L,Actual,20200601,17880
2403,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180401,109033
2404,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180501,56584
2405,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180601,28336
2406,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180701,60104
2407,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180801,114049
2408,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20180901,103489
2409,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20181001,93545
2410,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20181101,49632
2411,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20181201,42416
2412,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190101,43032
2413,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190201,74976
2414,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190301,93545
2415,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190401,135198
2416,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190501,70163
2417,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190601,35136
2418,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190701,74528
2419,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190801,141417
2420,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20190901,128323
2421,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20191001,115993
2422,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20191101,61542
2423,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20191201,52595
2424,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200101,53359
2425,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200201,92969
2426,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200301,115993
2427,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200401,204480
2428,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200501,133120
2429,FPA1/022,INC,USCU_L07,Z2,MZ-TG-Y240,YH,US10_PCY3L,Actual,20200601,61600
2430,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180401,108659
2431,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180501,72600
2432,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180601,79376
2433,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180701,58806
2434,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180801,95833
2435,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20180901,89057
2436,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181001,37026
2437,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181101,74052
2438,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20181201,30008
2439,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190101,21538
2440,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190201,52030
2441,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190301,77682
2442,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190401,134734
2443,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190501,90023
2444,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190601,98425
2445,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190701,72918
2446,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190801,118830
2447,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20190901,110428
2448,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191001,45911
2449,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191101,91823
2450,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20191201,37209
2451,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200101,26706
2452,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200201,64516
2453,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200301,96324
2454,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200401,211640
2455,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200501,139480
2456,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C900,CR,US10_PCC3L,Actual,20200601,217360
2457,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180401,27472
2458,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180501,9281
2459,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180601,25616
2460,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180701,42323
2461,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180801,41209
2462,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20180901,15592
2463,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181001,9652
2464,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181101,18562
2465,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20181201,12622
2466,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190101,1113
2467,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190201,23389
2468,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190301,20790
2469,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190401,34065
2470,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190501,11508
2471,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190601,31763
2472,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190701,52479
2473,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190801,51098
2474,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20190901,19334
2475,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191001,11968
2476,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191101,23017
2477,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20191201,15651
2478,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200101,1381
2479,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200201,29001
2480,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200301,25779
2481,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200401,64800
2482,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200501,36450
2483,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C950,CR,US10_PCC2L,Actual,20200601,58725
2484,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180401,6613
2485,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180501,12675
2486,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180601,28106
2487,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180701,27555
2488,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180801,95341
2489,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20180901,7715
2490,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181001,33066
2491,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181101,25902
2492,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20181201,22595
2493,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190101,8266
2494,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190201,55110
2495,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190301,56212
2496,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190401,8200
2497,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190501,15717
2498,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190601,34851
2499,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190701,34167
2500,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190801,118220
2501,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20190901,9566
2502,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191001,41001
2503,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191101,32117
2504,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20191201,28017
2505,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200101,10250
2506,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200201,68335
2507,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200301,69702
2508,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200401,29058
2509,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200501,23046
2510,FPA1/022,INC,USCU_L08,Z2,MZ-FG-C990,CR,US10_PCC1L,Actual,20200601,76152
2511,FPA1/022,INC,USCU_L08,Z2,MZ-FG-M500,MT,US10_PCM3L,Actual,20180401,97791
2512,FPA1/022,INC,USCU_L08,Z2,MZ-FG-M500,MT,US10_PCM3L,Actual,20180501,136418
